"LSOA11CD","imdscore","imdrank"
"E01000120",8.839,25648
"E01000122",10.018,24198
"E01000117",11.248,22710
"E01000118",11.778,22055
"E01000121",38.811,4855
"E01000123",12.165,21596
"E01000124",25.548,10554
"E01000265",19.26,14814
"E01000266",8.01,26728
"E01000274",19.115,14947
"E01000320",10.545,23556
"E01000322",17.706,16148
"E01000275",13.395,20267
"E01000277",20.698,13695
"E01000283",5.525,29715
"E01000284",17.803,16059
"E01000321",19.024,15028
"E01000195",31.85,7377
"E01000229",24.863,10942
"E01000230",9.983,24251
"E01000231",16.098,17541
"E01000232",15.719,17894
"E01000233",10.96,23060
"E01000186",4.903,30395
"E01000187",15.033,18602
"E01000188",8.598,25991
"E01000189",37.946,5156
"E01000190",11.774,22057
"E01000191",7.995,26745
"E01000158",20.018,14236
"E01000159",19.013,15037
"E01000160",14.194,19439
"E01000161",16.815,16911
"E01000162",22.695,12265
"E01000324",14.488,19152
"E01000256",13.883,19746
"E01000258",12.51,21196
"E01000263",5.651,29585
"E01000264",18.558,15425
"E01000255",21.004,13464
"E01000257",29.651,8397
"E01000261",9.731,24535
"E01000262",14.862,18782
"E01000192",15.625,18005
"E01000193",15.997,17630
"E01000194",19.074,14986
"E01000226",30.47,8000
"E01000227",11.732,22115
"E01000299",18.136,15768
"E01000300",12.018,21784
"E01000302",17.503,16320
"E01000317",13.341,20330
"E01000318",14.019,19617
"E01000323",22.141,12647
"E01000276",3.832,31435
"E01000278",4.723,30579
"E01000301",6.781,28262
"E01000303",7.29,27625
"E01000304",14.711,18931
"E01000130",33.351,6783
"E01000132",27.666,9373
"E01000133",35.567,5930
"E01000234",11.527,22347
"E01000235",26.66,9894
"E01000156",11.063,22939
"E01000157",17.281,16514
"E01000163",33.015,6907
"E01000164",29.781,8339
"E01000165",15.715,17898
"E01000315",34.34,6393
"E01000197",12.928,20751
"E01000295",11.784,22048
"E01000296",13.7,19937
"E01000298",13.499,20167
"E01000125",32.475,7128
"E01000127",30.233,8137
"E01000128",26.796,9830
"E01000129",37.393,5326
"E01000131",21.118,13367
"E01000134",24.936,10908
"E01000198",12.702,21009
"E01000199",6.935,28054
"E01000204",10.894,23123
"E01000259",14.628,19011
"E01000260",24.554,11104
"E01000126",35.42,5985
"E01000151",41.912,3941
"E01000152",38.604,4920
"E01000153",47.884,2623
"E01000154",35.587,5921
"E01000176",30.925,7785
"E01000178",11.122,22875
"E01000184",34.429,6367
"E01000297",11.056,22951
"E01000316",21.672,12957
"E01000319",9.966,24273
"E01000196",14.811,18830
"E01000200",10.633,23450
"E01000201",7.707,27119
"E01000202",7.634,27207
"E01000203",16.739,16984
"E01000177",8.646,25912
"E01000179",8.873,25603
"E01000180",16.252,17416
"E01000181",8.518,26085
"E01000182",9.124,25290
"E01000185",33.356,6780
"E01000147",12.192,21580
"E01000148",30.762,7872
"E01000155",22.729,12242
"E01033572",22.034,12733
"E01033573",19.982,14259
"E01000239",20.8,13622
"E01000240",20.176,14087
"E01000241",12.005,21796
"E01000309",13.891,19740
"E01000237",12.121,21656
"E01000242",21.451,13122
"E01000243",18.189,15721
"E01000244",15.992,17640
"E01000245",30.895,7805
"E01000314",12.212,21553
"E01000183",11.141,22849
"E01000206",9.444,24895
"E01000207",6.433,28661
"E01000208",8.138,26573
"E01000210",8.428,26202
"E01000213",5.82,29383
"E01000236",12.38,21363
"E01000238",14.132,19499
"E01000310",19.561,14615
"E01000311",10.156,24014
"E01000205",7.732,27084
"E01000209",7.928,26829
"E01000211",17.408,16409
"E01000212",8.78,25717
"E01000216",10.876,23147
"E01000217",11.831,21997
"E01000150",19.062,15001
"E01000305",29.612,8416
