"MSOA11CD","LSOA11CD"
"E02000182","E01000963"
"E02000182","E01000960"
"E02000182","E01000961"
"E02000182","E01000967"
"E02000183","E01000857"
"E02000183","E01000859"
"E02000183","E01000858"
"E02000183","E01000860"
"E02000183","E01000862"
"E02000184","E01000958"
"E02000184","E01000861"
"E02000184","E01000959"
"E02000184","E01000957"
"E02000184","E01000856"
"E02000185","E01000930"
"E02000185","E01000935"
"E02000185","E01000934"
"E02000185","E01000929"
"E02000185","E01000933"
"E02000186","E01000946"
"E02000186","E01000947"
"E02000186","E01000948"
"E02000186","E01000863"
"E02000187","E01000952"
"E02000187","E01000953"
"E02000187","E01000956"
"E02000187","E01000954"
"E02000187","E01000955"
"E02000188","E01000951"
"E02000188","E01000950"
"E02000188","E01000949"
"E02000188","E01000945"
"E02000188","E01000944"
"E02000189","E01000940"
"E02000189","E01000939"
"E02000189","E01000938"
"E02000189","E01000936"
"E02000190","E01000941"
"E02000190","E01000943"
"E02000190","E01000942"
"E02000190","E01000937"
"E02000190","E01000853"
"E02000191","E01000854"
"E02000191","E01000851"
"E02000191","E01000850"
"E02000191","E01000852"
"E02000192","E01000917"
"E02000192","E01000915"
"E02000192","E01000916"
"E02000192","E01000920"
"E02000193","E01000914"
"E02000193","E01000919"
"E02000193","E01000855"
"E02000193","E01000918"
"E02000194","E01001156"
"E02000194","E01001137"
"E02000194","E01001138"
"E02000194","E01001162"
"E02000194","E01001164"
"E02000195","E01001163"
"E02000195","E01001157"
"E02000195","E01001084"
"E02000195","E01001159"
"E02000195","E01001160"
"E02000196","E01001083"
"E02000196","E01001087"
"E02000196","E01001086"
"E02000196","E01001161"
"E02000197","E01001089"
"E02000197","E01001085"
"E02000197","E01001090"
"E02000197","E01001088"
"E02000197","E01001091"
"E02000198","E01001152"
"E02000198","E01001148"
"E02000198","E01001151"
"E02000198","E01001158"
"E02000198","E01001147"
"E02000199","E01001153"
"E02000199","E01001150"
"E02000199","E01001154"
"E02000199","E01001149"
"E02000199","E01001146"
"E02000200","E01001142"
"E02000200","E01001139"
"E02000200","E01001140"
"E02000200","E01001136"
"E02000200","E01001144"
"E02000201","E01001143"
"E02000201","E01001145"
"E02000201","E01001191"
"E02000201","E01001192"
"E02000201","E01001141"
"E02000202","E01000997"
"E02000202","E01000994"
"E02000202","E01001002"
"E02000202","E01000999"
"E02000202","E01000996"
"E02000202","E01000995"
"E02000203","E01001000"
"E02000203","E01001003"
"E02000203","E01001111"
"E02000203","E01000998"
"E02000203","E01001155"
"E02000204","E01001184"
"E02000204","E01001175"
"E02000204","E01001182"
"E02000204","E01001174"
"E02000204","E01001176"
"E02000204","E01001183"
"E02000206","E01001109"
"E02000206","E01001113"
"E02000206","E01001114"
"E02000206","E01001001"
"E02000206","E01001116"
"E02000206","E01001112"
"E02000207","E01001186"
"E02000207","E01000992"
"E02000207","E01001188"
"E02000207","E01001193"
"E02000207","E01001185"
"E02000208","E01001004"
"E02000208","E01001115"
"E02000208","E01001178"
"E02000208","E01001117"
"E02000208","E01001181"
"E02000209","E01001006"
"E02000209","E01001177"
"E02000209","E01001180"
"E02000209","E01001179"
"E02000209","E01001007"
"E02000210","E01000980"
"E02000210","E01000983"
"E02000210","E01001187"
"E02000210","E01000982"
"E02000210","E01000981"
"E02000211","E01001134"
"E02000211","E01001132"
"E02000211","E01000991"
"E02000211","E01000989"
"E02000211","E01001131"
"E02000212","E01001005"
"E02000212","E01001008"
"E02000212","E01001009"
"E02000212","E01001011"
"E02000212","E01001010"
"E02000213","E01001013"
"E02000213","E01001048"
"E02000213","E01001012"
"E02000213","E01001118"
"E02000213","E01001110"
"E02000214","E01000987"
"E02000214","E01000985"
"E02000214","E01000986"
"E02000214","E01000993"
"E02000215","E01000984"
"E02000215","E01000975"
"E02000215","E01000976"
"E02000215","E01000979"
"E02000215","E01000977"
"E02000215","E01000978"
"E02000216","E01001049"
"E02000216","E01001050"
"E02000216","E01001046"
"E02000216","E01001044"
"E02000217","E01001166"
"E02000217","E01001165"
"E02000217","E01001042"
"E02000217","E01001014"
"E02000217","E01001168"
"E02000218","E01001135"
"E02000218","E01001127"
"E02000218","E01001130"
"E02000218","E01001128"
"E02000219","E01001062"
"E02000219","E01001133"
"E02000219","E01001064"
"E02000219","E01001129"
"E02000219","E01001063"
"E02000220","E01001170"
"E02000220","E01001043"
"E02000220","E01001045"
"E02000220","E01001047"
"E02000220","E01001035"
"E02000221","E01001169"
"E02000221","E01001167"
"E02000221","E01001173"
"E02000221","E01001171"
"E02000221","E01001172"
"E02000222","E01001038"
"E02000222","E01001039"
"E02000222","E01001040"
"E02000222","E01001036"
"E02000222","E01001037"
"E02000223","E01001056"
"E02000223","E01001052"
"E02000223","E01001054"
"E02000223","E01001057"
"E02000223","E01001051"
"E02000224","E01001041"
"E02000224","E01001095"
"E02000224","E01001100"
"E02000224","E01001033"
"E02000224","E01001034"
"E02000225","E01001082"
"E02000225","E01001055"
"E02000225","E01001053"
"E02000225","E01001077"
"E02000225","E01001078"
"E02000226","E01001125"
"E02000226","E01001122"
"E02000226","E01001124"
"E02000226","E01001123"
"E02000226","E01001120"
"E02000227","E01001058"
"E02000227","E01001126"
"E02000227","E01001061"
"E02000227","E01001065"
"E02000227","E01001119"
"E02000227","E01001060"
"E02000227","E01001059"
"E02000227","E01001066"
"E02000228","E01001032"
"E02000228","E01001107"
"E02000228","E01001102"
"E02000228","E01001101"
"E02000228","E01001108"
"E02000229","E01001079"
"E02000229","E01001076"
"E02000229","E01001081"
"E02000229","E01001080"
"E02000230","E01001093"
"E02000230","E01001092"
"E02000230","E01001073"
"E02000230","E01001097"
"E02000230","E01001096"
"E02000230","E01001098"
"E02000231","E01001029"
"E02000231","E01001030"
"E02000231","E01001094"
"E02000231","E01001028"
"E02000231","E01001031"
"E02000232","E01001121"
"E02000232","E01001103"
"E02000232","E01001106"
"E02000232","E01001105"
"E02000233","E01001070"
"E02000233","E01001075"
"E02000233","E01001099"
"E02000233","E01001069"
"E02000234","E01001016"
"E02000234","E01001015"
"E02000234","E01001074"
"E02000234","E01001067"
"E02000234","E01001023"
"E02000235","E01001072"
"E02000235","E01001071"
"E02000235","E01001068"
"E02000235","E01001104"
"E02000236","E01001027"
"E02000236","E01001025"
